Date,Open,High,Low,Close,Adj Close,Volume
4/15/2019,124.489998,126.610001,124.139999,125.849998,125.849998,596600
4/16/2019,126.57,127.150002,123.57,124.599998,124.599998,915700
4/17/2019,124.839996,125.099998,120.690002,121.309998,121.309998,1006100
4/18/2019,121.019997,121.279999,114.389999,118.57,118.57,2288000
4/22/2019,117.379997,119.830002,116.339996,119.43,119.43,926400
4/23/2019,118.940002,120.25,116.830002,119.849998,119.849998,1216700
4/24/2019,120.809998,121.550003,119.449997,119.800003,119.800003,800100
4/25/2019,120.68,121.660004,118.57,118.949997,118.949997,950400
4/26/2019,119.010002,121.300003,118.550003,120.699997,120.699997,1057800
4/29/2019,120.970001,122.779999,120.510002,120.559998,120.559998,1145400
4/30/2019,120.239998,121.849998,119,121.809998,121.809998,985800
5/1/2019,123.839996,124,120.669998,120.739998,120.739998,1050100
5/2/2019,120.199997,122,118.32,120.260002,120.260002,1593300
5/3/2019,127,129.880005,124.25,125.809998,125.809998,3215800
5/6/2019,121.68,126.269997,120.510002,122.650002,122.650002,1759100
5/7/2019,121.050003,122.260002,119.599998,121.849998,121.849998,1323400
5/8/2019,121.080002,124.809998,120.860001,123.330002,123.330002,1285700
5/9/2019,121.300003,123.510002,117.160004,122.989998,122.989998,1330300
5/10/2019,122.010002,124.260002,119.139999,124,124,1266000
5/13/2019,119.860001,121.279999,116.43,116.669998,116.669998,1289700
5/14/2019,117.599998,120.790001,117.410004,119.779999,119.779999,1468800
5/15/2019,118.739998,122.459999,118.739998,121.459999,121.459999,790300
5/16/2019,121.959999,124.389999,121.169998,123.040001,123.040001,1328000
5/17/2019,122.029999,124.480003,121.660004,121.779999,121.779999,799700
5/20/2019,119.510002,119.82,117.25,119.029999,119.029999,1037800
5/21/2019,119.82,121,117.580002,117.699997,117.699997,1285300
5/22/2019,117.449997,118.690002,116.449997,116.550003,116.550003,873000
5/23/2019,114.949997,114.949997,111.580002,112.519997,112.519997,1288000
5/24/2019,112.07,113.480003,110.779999,112.940002,112.940002,1388600
5/28/2019,113.699997,115.769997,113.419998,113.959999,113.959999,783700
5/29/2019,112.769997,114.339996,110.93,113.879997,113.879997,882100
5/30/2019,114.169998,114.709999,112.150002,113.010002,113.010002,785000
5/31/2019,111.480003,113.5,110.910004,112.470001,112.470001,634200
6/3/2019,112.080002,112.589996,107.059998,108.260002,108.260002,1741600
6/4/2019,110.080002,112.68,108.769997,112.480003,112.480003,879700
6/5/2019,114.480003,121.75,113.699997,121.599998,121.599998,1865100
6/6/2019,117.080002,119.440002,113.809998,117.099998,117.099998,1945100
6/7/2019,120,125.610001,118.449997,125.209999,125.209999,1837000
